data1,data2,data3
0.199421,0.625061,1
0.1803,0.521431,1
0.227065,0.690231,1
0.19969,0.74129,1
0.190534,0.660373,1
0.093788,0.773573,1
0.102313,0.620091,1
0.212263,0.665835,1
0.148795,0.647877,1
0.070798,0.744148,1
0.208143,0.716944,1
0.209488,0.671891,1
0.150734,0.774439,1
0.248757,0.716586,1
0.160784,0.739867,1
0.180654,0.757974,1
0.105803,0.822567,1
0.181803,0.771505,1
0.219827,0.576168,1
0.113454,0.832189,1
0.221311,0.583693,1
0.253382,0.686135,1
0.121179,0.712474,1
0.151645,0.662999,1
0.146551,0.607351,1
0.11226,0.638401,1
0.189047,0.780228,1
0.082412,0.804771,1
0.178029,0.57936,1
0.199859,0.772822,1
0.114055,0.696272,1
0.144144,0.69083,1
0.162932,0.722801,1
0.188638,0.73299,1
0.203109,0.676881,1
0.04273,0.938982,1
0.16286,0.717672,1
0.216023,0.621829,1
0.163041,0.787293,1
0.166709,0.769653,1
0.097218,0.819948,1
0.222049,0.627012,1
0.139849,0.677394,1
0.164672,0.853342,1
0.241084,0.660821,1
0.159283,0.593203,1
0.202884,0.632779,1
0.147302,0.727976,1
0.121153,0.76271,1
0.222119,0.650538,1
0.116129,0.752926,1
0.227144,0.638081,1
0.215862,0.542533,1
0.12522,0.761388,1
0.197836,0.646165,1
0.155433,0.647434,1
0.098938,0.591401,1
0.160495,0.572114,1
0.226525,0.602328,1
0.190571,0.811345,1
0.227617,0.582873,1
0.210717,0.55137,1
0.172273,0.619392,1
0.228574,0.599546,1
0.238808,0.504672,1
0.12097,0.58152,1
0.230903,0.711519,1
0.212896,0.664082,1
0.303552,0.658372,1
0.133053,0.837633,1
0.179354,0.652424,1
0.130766,0.752673,1
0.140197,0.787177,1
0.180437,0.643366,1
0.199022,0.649858,1
0.224992,0.756462,1
0.230144,0.605205,1
0.194839,0.674493,1
0.155067,0.742802,1
0.177885,0.673842,1
0.208484,0.580066,1
0.183241,0.604688,1
0.096761,0.722728,1
0.195338,0.604014,1
0.178159,0.769708,1
0.192397,0.660109,1
0.202011,0.763558,1
0.21814,0.700531,1
0.146075,0.646836,1
0.107967,0.832535,1
0.133345,0.720738,1
0.240634,0.634655,1
0.25943,0.671326,1
0.224561,0.675139,1
0.276286,0.568151,1
0.221015,0.556381,1
0.232525,0.629855,1
0.181019,0.729038,1
0.070566,0.763523,1
0.143501,0.719638,1
0.176992,0.600951,1
0.206186,0.65267,1
0.185625,0.734515,1
0.114732,0.900905,1
0.163007,0.797062,1
0.239745,0.71975,1
0.222844,0.7332,1
0.249927,0.759781,1
0.18003,0.755851,1
0.09055,0.779564,1
0.182682,0.796747,1
0.332331,0.578342,1
0.172987,0.672327,1
0.249187,0.603472,1
0.201743,0.716801,1
0.248362,0.65303,1
0.147792,0.703808,1
0.224185,0.581313,1
0.197958,0.753838,1
0.169461,0.679685,1
0.167021,0.710253,1
0.16499,0.676487,1
0.101894,0.776042,1
0.101595,0.572404,1
0.229236,0.551712,1
0.269901,0.652293,1
0.275098,0.635643,1
0.243978,0.650624,1
0.204416,0.630765,1
0.255048,0.635985,1
0.216698,0.744757,1
0.151321,0.701434,1
0.150848,0.585588,1
0.174139,0.574395,1
0.195705,0.713164,1
0.139478,0.800783,1
0.126604,0.671124,1
0.217279,0.746828,1
0.164427,0.759915,1
0.23052,0.68516,1
0.111141,0.661038,1
0.159004,0.532249,1
0.206265,0.513278,1
0.144544,0.693695,1
0.215317,0.722372,1
0.197073,0.628221,1
0.155434,0.707881,1
0.182548,0.700712,1
0.172453,0.653799,1
0.149617,0.757232,1
0.195093,0.635517,1
0.245289,0.584577,1
0.249501,0.586982,1
0.19041,0.640031,1
0.168378,0.65669,1
0.190578,0.738073,1
0.312857,0.548322,1
0.096013,0.79583,1
0.169877,0.68626,1
0.154915,0.751768,1
0.273515,0.680338,1
0.159241,0.643396,1
0.094351,0.682641,1
0.151967,0.796479,1
0.200209,0.603426,1
0.190444,0.723209,1
0.204046,0.73391,1
0.167599,0.725958,1
0.084675,0.646479,1
0.113354,0.826879,1
0.213907,0.69974,1
0.077522,0.835923,1
0.17575,0.751487,1
0.151665,0.711046,1
0.189168,0.705964,1
0.254146,0.574425,1
0.095321,0.745035,1
0.12709,0.697243,1
0.078327,0.833275,1
0.229045,0.645046,1
0.173304,0.608537,1
0.197836,0.815503,1
0.241184,0.696919,1
0.158403,0.653465,1
0.136651,0.735505,1
0.130217,0.671929,1
0.154616,0.633758,1
0.172139,0.630868,1
0.173746,0.855113,1
0.185731,0.711751,1
0.198376,0.673833,1
0.177412,0.719951,1
0.132203,0.793684,1
0.188067,0.677807,1
0.168506,0.695711,1
0.181097,0.677923,1
0.25751,0.567232,1
0.199942,0.711031,1
0.281395,0.579977,1
0.143485,0.672154,1
0.149316,0.861812,1
0.237918,0.717259,1
0.202375,0.62704,1
0.30591,0.575409,1
0.155758,0.765787,1
0.223538,0.512585,1
0.183209,0.673796,1
0.217826,0.689159,1
0.139846,0.765986,1
0.144443,0.762254,1
0.177508,0.776432,1
0.214214,0.58056,1
0.224146,0.609705,1
0.090205,0.744814,1
0.19644,0.584885,1
0.220203,0.641045,1
0.215136,0.794835,1
0.186392,0.775984,1
0.144215,0.64782,1
0.115543,0.675931,1
0.191184,0.696849,1
0.169154,0.753721,1
0.228414,0.708892,1
0.121259,0.78186,1
0.168274,0.736164,1
0.194893,0.751024,1
0.238622,0.586738,1
0.161532,0.696581,1
0.157507,0.749498,1
0.176817,0.697027,1
0.256842,0.699068,1
0.239218,0.699794,1
0.247418,0.694014,1
0.108956,0.697126,1
0.159416,0.668587,1
0.231241,0.675896,1
0.223546,0.6383,1
0.087002,0.869056,1
0.13718,0.580825,1
0.204615,0.73609,1
0.253221,0.657952,1
0.174271,0.721991,1
0.286842,0.642617,1
0.225468,0.657278,1
0.212826,0.705349,1
0.178719,0.682745,1
0.206429,0.739305,1
0.071137,0.783709,1
0.276608,0.620546,1
0.160207,0.727063,1
0.225499,0.568345,1
0.136499,0.647921,1
0.195617,0.704136,1
0.189089,0.757944,1
0.236237,0.593247,1
0.100741,0.836252,1
0.088649,0.854469,1
0.211779,0.701792,1
0.122661,0.792171,1
0.152451,0.801793,1
0.209846,0.759375,1
0.19525,0.567139,1
0.175108,0.565341,1
0.118548,0.816325,1
0.074264,0.826786,1
0.17519,0.730224,1
0.123486,0.645457,1
0.229832,0.608193,1
0.154222,0.681584,1
0.138813,0.842396,1
0.218717,0.727965,1
0.180754,0.671253,1
0.117868,0.707188,1
0.148365,0.691077,1
0.244022,0.605456,1
0.111132,0.688779,1
0.118115,0.764065,1
0.104743,0.828316,1
0.16706,0.580387,1
0.159664,0.679444,1
0.102201,0.77088,1
0.151556,0.772952,1
0.240764,0.564322,1
0.206087,0.59896,1
0.207506,0.708609,1
0.170785,0.57302,1
0.187624,0.764597,1
0.200526,0.627041,1
0.279432,0.659802,1
0.168389,0.684765,1
0.146487,0.774537,1
0.234303,0.597752,1
0.217265,0.77377,1
0.24719,0.710238,1
0.199775,0.725296,1
0.222513,0.643658,1
0.231684,0.586429,1
0.184965,0.654253,1
0.172026,0.712941,1
0.155469,0.724719,1
0.210353,0.588542,1
0.170812,0.757204,1
0.204129,0.545027,1
0.068883,0.725169,1
0.129171,0.625082,1
0.074501,0.669073,1
0.21771,0.677906,1
0.23889,0.551864,1
0.191944,0.543324,1
0.194704,0.701255,1
0.233993,0.629449,1
0.172468,0.711234,1
0.159917,0.592244,1
0.210537,0.653794,1
0.056903,0.723774,1
0.12827,0.745019,1
0.226102,0.667813,1
0.120086,0.736233,1
0.249405,0.660718,1
0.23715,0.70199,1
0.150058,0.708619,1
0.16606,0.683478,1
0.166884,0.639943,1
0.22971,0.678081,1
0.18064,0.761314,1
0.137052,0.717817,1
0.221211,0.693167,1
0.125294,0.642292,1
0.136859,0.712541,1
0.145732,0.766993,1
0.111048,0.703783,1
0.15451,0.792222,1
0.18368,0.71489,1
0.201319,0.726974,1
0.19931,0.697966,1
0.117478,0.612563,1
0.281389,0.602143,1
0.188229,0.71846,1
0.158158,0.75442,1
0.151589,0.697303,1
0.087014,0.729592,1
0.230191,0.625168,1
0.248286,0.711346,1
0.146646,0.666202,1
0.09035,0.70132,1
0.231082,0.674584,1
0.200575,0.762347,1
0.134496,0.610116,1
0.243614,0.673421,1
0.24161,0.629217,1
0.176943,0.740388,1
0.230843,0.604356,1
0.155735,0.726248,1
0.249097,0.596914,1
0.204431,0.605699,1
0.151725,0.749944,1
0.226003,0.631654,1
0.242524,0.691136,1
0.216213,0.581718,1
0.125483,0.707408,1
0.174902,0.697356,1
0.202471,0.668002,1
0.194146,0.7007,1
0.214143,0.60857,1
0.198244,0.695452,1
0.229245,0.547782,1
0.20748,0.620048,1
0.169383,0.744087,1
0.113537,0.697776,1
0.144597,0.665751,1
0.244247,0.617573,1
0.198294,0.792288,1
0.156346,0.839345,1
0.186655,0.780459,1
0.243816,0.47031,1
0.169883,0.80495,1
0.183631,0.635435,1
0.236125,0.620398,1
0.181935,0.722427,1
0.193164,0.688915,1
0.19891,0.605647,1
0.214397,0.714784,1
0.174502,0.695485,1
0.155843,0.824933,1
0.198607,0.661345,1
0.208515,0.759776,1
0.146236,0.645636,1
0.242008,0.678712,1
0.165528,0.607439,1
0.160346,0.77492,1
0.178041,0.703937,1
0.165969,0.762291,1
0.196967,0.644425,1
0.156036,0.757768,1
0.210966,0.683276,1
0.153136,0.758074,1
0.207589,0.706996,1
0.157127,0.752435,1
0.129603,0.730974,1
0.053061,0.877654,1
0.225568,0.607264,1
0.240933,0.745833,1
0.218269,0.56386,1
0.204031,0.594106,1
0.130991,0.711111,1
0.204035,0.665337,1
0.21331,0.696879,1
0.161098,0.774589,1
0.151922,0.785935,1
0.181093,0.538681,1
0.176358,0.747722,1
0.06285,0.809141,1
0.230315,0.57121,1
0.219511,0.712973,1
0.208197,0.512624,1
0.117119,0.599268,1
0.175627,0.624818,1
0.146971,0.851942,1
0.109609,0.798546,1
0.219878,0.626429,1
0.115289,0.821333,1
0.218141,0.598558,1
0.244208,0.678956,1
0.157042,0.561358,1
0.179316,0.629729,1
0.156428,0.671958,1
0.224464,0.740261,1
0.238001,0.620609,1
0.231164,0.600811,1
0.143818,0.642082,1
0.120324,0.724423,1
0.181188,0.659887,1
0.182523,0.729388,1
0.26222,0.705309,1
0.158921,0.558167,1
0.131974,0.822112,1
0.129939,0.710418,1
0.164893,0.67144,1
0.213821,0.798463,1
0.253722,0.655543,1
0.210168,0.734219,1
0.170691,0.771384,1
0.127829,0.722081,1
0.04387,0.838126,1
0.158164,0.6364,1
0.139044,0.759429,1
0.165866,0.681643,1
0.23602,0.702283,1
0.218206,0.705102,1
0.205605,0.741344,1
0.150625,0.643784,1
0.153405,0.598995,1
0.209046,0.78997,1
0.189148,0.678705,1
0.180845,0.619826,1
0.201219,0.684525,1
0.141276,0.769945,1
0.065951,0.741435,1
0.148356,0.843229,1
0.136023,0.849478,1
0.190301,0.813491,1
0.141986,0.812033,1
0.028453,0.805925,1
0.148894,0.6715,1
0.103301,0.779146,1
0.121297,0.8401,1
0.16808,0.794885,1
0.168206,0.662635,1
0.192516,0.679193,1
0.121129,0.73017,1
0.204382,0.66388,1
0.18492,0.800616,1
0.063252,0.721187,1
0.184681,0.723834,1
0.237461,0.554892,1
0.128602,0.569493,1
0.202841,0.676436,1
0.15266,0.727958,1
0.140927,0.758522,1
0.128207,0.723198,1
0.210591,0.723248,1
0.144257,0.806714,1
0.192961,0.654611,1
0.115698,0.695493,1
0.199463,0.673563,1
0.242643,0.623148,1
0.135943,0.724541,1
0.147317,0.705562,1
0.19762,0.645238,1
0.15982,0.702278,1
0.144564,0.726295,1
0.201015,0.595701,1
0.15253,0.637366,1
0.193297,0.715306,1
0.183895,0.690095,1
0.132455,0.80977,1
0.214323,0.585366,1
0.149729,0.718471,1
0.194608,0.803149,1
0.080627,0.749822,1
0.173124,0.615825,1
0.133901,0.797226,1
0.112242,0.643671,1
0.234811,0.64749,1
0.206681,0.55457,1
0.091778,0.828646,1
0.182371,0.611666,1
0.185497,0.660912,1
0.10035,0.746841,1
0.14308,0.605855,1
0.131744,0.656303,1
0.182887,0.771892,1
0.204242,0.598204,1
0.161115,0.671051,1
0.16129,0.751891,1
0.100018,0.812746,1
0.180432,0.64387,1
0.138445,0.83223,1
0.174215,0.730093,1
0.199814,0.545729,1
0.11461,0.828419,1
0.19683,0.707734,1
0.199388,0.642733,1
0.171746,0.653155,1
0.136297,0.679075,1
0.094793,0.566409,1
0.173708,0.635101,1
0.166874,0.685438,1
0.157115,0.752731,1
0.118724,0.820443,1
0.139635,0.779381,1
0.174074,0.563992,1
0.18599,0.655273,1
0.162914,0.806501,1
0.087531,0.783258,1
0.139919,0.669824,1
0.186437,0.633659,1
0.22227,0.742376,1
0.107146,0.724913,1
0.179083,0.594638,1
0.186762,0.730047,1
0.136522,0.605316,1
0.204427,0.684344,1
0.167494,0.746646,1
0.150327,0.728158,1
0.178059,0.694688,1
0.213872,0.761241,1
0.170844,0.603338,1
0.137473,0.832397,1
0.23379,0.687283,1
0.194114,0.695699,1
0.157271,0.746934,1
0.167147,0.827395,1
0.132827,0.713667,1
0.074809,0.710585,1
0.187356,0.618219,1
0.101462,0.662295,1
0.232815,0.803231,1
0.180567,0.749942,1
0.199407,0.755087,1
0.146098,0.563722,1
0.099911,0.811284,1
0.152532,0.750487,1
0.07625,0.733737,1
0.17762,0.66731,1
0.176122,0.665857,1
0.105691,0.831916,1
0.176152,0.776404,1
0.135661,0.806601,1
0.22455,0.510988,1
0.197417,0.765584,1
0.235,0.799129,1
0.164579,0.714336,1
0.213228,0.654499,1
0.110932,0.778307,1
0.263093,0.587328,1
0.12693,0.654637,1
0.162165,0.596798,1
0.135376,0.753013,1
0.184578,0.650949,1
0.190329,0.629127,1
0.123556,0.658012,1
0.131645,0.667276,1
0.221173,0.875177,1
0.225551,0.621166,1
0.154274,0.749287,1
0.17119,0.720388,1
0.152616,0.766011,1
0.131221,0.777145,1
0.166101,0.743583,1
0.124016,0.793019,1
0.219018,0.612703,1
0.152614,0.698658,1
0.115143,0.666311,1
0.192894,0.673131,1
0.175813,0.638323,1
0.280552,0.66944,1
0.234971,0.696403,1
0.09931,0.674019,1
0.247937,0.589339,1
0.138501,0.739035,1
0.155384,0.754881,1
0.257653,0.515864,1
0.152698,0.605617,1
0.1752,0.68194,1
0.141844,0.713356,1
0.197885,0.818548,1
0.234084,0.666441,1
0.112814,0.699426,1
0.125139,0.724192,1
0.201401,0.759607,1
0.159562,0.709573,1
0.114683,0.670501,1
0.20139,0.74995,1
0.183515,0.5737,1
0.213146,0.653488,1
0.146856,0.784224,1
0.094176,0.826557,1
0.132234,0.618622,1
0.191456,0.687792,1
0.224386,0.630937,1
0.199023,0.554706,1
0.243419,0.635207,1
0.157471,0.671566,1
0.273522,0.528787,1
0.161145,0.730941,1
0.140113,0.694722,1
0.142332,0.702181,1
0.168231,0.777455,1
0.103,0.739149,1
0.192726,0.796171,1
0.096843,0.814279,1
0.080504,0.794784,1
0.144096,0.649462,1
0.169241,0.668954,1
0.186574,0.69242,1
0.124329,0.747796,1
0.169883,0.789843,1
0.125896,0.803456,1
0.18125,0.723405,1
0.157668,0.664461,1
0.134351,0.680086,1
0.12238,0.832984,1
0.157133,0.768975,1
0.134334,0.837784,1
0.100693,0.646826,1
0.139709,0.539907,1
0.224374,0.575166,1
0.163697,0.768174,1
0.123315,0.776077,1
0.119368,0.720631,1
0.205421,0.584298,1
0.177272,0.798197,1
0.295459,0.542084,1
0.181825,0.745524,1
0.126528,0.749183,1
0.208141,0.729437,1
0.184271,0.773194,1
0.188438,0.760531,1
0.211919,0.706965,1
0.13975,0.787616,1
0.213824,0.605737,1
0.175245,0.733112,1
0.168349,0.786909,1
0.193355,0.618104,1
0.168392,0.724002,1
0.233463,0.573539,1
0.08785,0.787337,1
0.257463,0.767841,1
0.233769,0.792168,1
0.243557,0.572052,1
0.169132,0.68114,1
0.258857,0.704666,1
0.192873,0.708974,1
0.243992,0.62755,1
0.115756,0.777921,1
0.230927,0.669295,1
0.130765,0.828481,1
0.185784,0.723423,1
0.182204,0.804778,1
0.109303,0.953474,1
0.198527,0.640622,1
0.197578,0.702365,1
0.213756,0.756626,1
0.189793,0.743788,1
0.085457,0.781933,1
0.166377,0.665888,1
0.191555,0.682064,1
0.241307,0.551498,1
0.082297,0.786802,1
0.134429,0.599712,1
0.219742,0.571449,1
0.10935,0.715272,1
0.117404,0.803977,1
0.16294,0.727233,1
0.163282,0.793267,1
0.14337,0.74279,1
0.172443,0.80376,1
0.131614,0.919561,1
0.186345,0.682595,1
0.210953,0.696896,1
0.176959,0.789692,1
0.157512,0.723326,1
0.122086,0.726527,1
0.303531,0.493989,1
0.150968,0.688472,1
0.229242,0.668944,1
0.103083,0.812209,1
0.086108,0.750674,1
0.147341,0.771833,1
0.138248,0.802796,1
0.193959,0.743316,1
0.194342,0.691654,1
0.187398,0.669645,1
0.143903,0.804536,1
0.106826,0.743787,1
0.075869,0.815334,1
0.113239,0.765863,1
0.22831,0.753716,1
0.11714,0.743517,1
0.152298,0.659679,1
0.110048,0.797229,1
0.09111,0.827409,1
0.144126,0.602439,1
0.190867,0.710082,1
0.165537,0.748562,1
0.177461,0.657491,1
0.195093,0.642981,1
0.183503,0.72391,1
0.200655,0.63076,1
0.147182,0.619368,1
0.189976,0.563806,1
0.122516,0.727027,1
0.205558,0.616785,1
0.183455,0.651037,1
0.198279,0.638375,1
0.168208,0.693907,1
0.224909,0.61212,1
0.273899,0.710703,1
0.164419,0.758138,1
0.132066,0.630562,1
0.221296,0.592966,1
0.1954,0.632265,1
0.091291,0.710554,1
0.054594,0.860942,1
0.137416,0.690411,1
0.179221,0.668176,1
0.197516,0.612227,1
0.166547,0.708835,1
0.182175,0.678166,1
0.1009,0.8561,1
0.079302,0.878565,1
0.245982,0.659195,1
0.104783,0.751522,1
0.179704,0.668948,1
0.224405,0.789994,1
0.172531,0.746375,1
0.13511,0.790347,1
0.098846,0.735212,1
0.236456,0.705591,1
0.205119,0.576632,1
0.232329,0.811688,1
0.145909,0.690062,1
0.18944,0.701138,1
0.174261,0.640898,1
0.220132,0.642217,1
